category,answer_type,query,gold_answer,model_answer,hit@k,rr@k,recall@k,f1,em,acc
Non-Disparagement,BOOL,Does this agreement include any 'Non-Disparagement' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Termination For Convenience,BOOL,Does this agreement include any 'Termination For Convenience' clause? Answer strictly with 'Yes' or 'No'.,Yes,Yes.,1,1.0,1.0,,,1.0
Rofr/Rofo/Rofn,BOOL,Does this agreement include any 'Rofr/Rofo/Rofn' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Change Of Control,BOOL,Does this agreement include any 'Change Of Control' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Anti-Assignment,BOOL,Does this agreement include any 'Anti-Assignment' clause? Answer strictly with 'Yes' or 'No'.,Yes,No.,1,0.3333333333333333,1.0,,,0.0
Revenue/Profit Sharing,BOOL,Does this agreement include any 'Revenue/Profit Sharing' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Price Restrictions,BOOL,Does this agreement include any 'Price Restrictions' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Minimum Commitment,BOOL,Does this agreement include any 'Minimum Commitment' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Volume Restriction,BOOL,Does this agreement include any 'Volume Restriction' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Ip Ownership Assignment,BOOL,Does this agreement include any 'Ip Ownership Assignment' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Joint Ip Ownership,BOOL,Does this agreement include any 'Joint Ip Ownership' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
License Grant,BOOL,Does this agreement include any 'License Grant' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Non-Transferable License,BOOL,Does this agreement include any 'Non-Transferable License' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Affiliate License-Licensor,BOOL,Does this agreement include any 'Affiliate License-Licensor' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Affiliate License-Licensee,BOOL,Does this agreement include any 'Affiliate License-Licensee' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Unlimited/All-You-Can-Eat-License,BOOL,Does this agreement include any 'Unlimited/All-You-Can-Eat-License' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Irrevocable Or Perpetual License,BOOL,Does this agreement include any 'Irrevocable Or Perpetual License' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Source Code Escrow,BOOL,Does this agreement include any 'Source Code Escrow' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Post-Termination Services,BOOL,Does this agreement include any 'Post-Termination Services' clause? Answer strictly with 'Yes' or 'No'.,Yes,No.,1,0.3333333333333333,1.0,,,0.0
Audit Rights,BOOL,Does this agreement include any 'Audit Rights' clause? Answer strictly with 'Yes' or 'No'.,Yes,Yes.,1,0.25,1.0,,,1.0
Uncapped Liability,BOOL,Does this agreement include any 'Uncapped Liability' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Cap On Liability,BOOL,Does this agreement include any 'Cap On Liability' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Liquidated Damages,BOOL,Does this agreement include any 'Liquidated Damages' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Warranty Duration,DURATION,"What is the Warranty Duration in this agreement? Answer with a number and unit, such as '3 years' or '12 months'.",No,There is no warranty duration specified in the agreement.,0,0.0,0.0,,0.0,
Insurance,BOOL,Does this agreement include any 'Insurance' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Covenant Not To Sue,BOOL,Does this agreement include any 'Covenant Not To Sue' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Third Party Beneficiary,BOOL,Does this agreement include any 'Third Party Beneficiary' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Document Name,TEXT,What is the Document Name in this agreement?,Master Service Agreement,"The Document Name in this agreement is ""Master Service Agreement.""",1,0.2,1.0,0.4615384615384615,,
Parties,LIST_ENTITY,Who are the parties to this agreement? List the entity or individual names separated by semicolons.,"CRO Consultiong (Pty) Limited (""CRO""); Purinis Pharmaceuticals LLC (""Client"")",Client; Purinix Pharmaceuticals LLC; CRO Consulting (Pty) Limited; CRO,1,0.1111111111111111,1.0,0.7777777777777778,,
Agreement Date,DATE,What is the Agreement Date of this agreement? Answer strictly in the format mm/dd/yyyy.,5/25/08,05/25/2008,0,0.0,0.0,,0.0,
Effective Date,DATE,What is the Effective Date of this agreement? Answer strictly in the format mm/dd/yyyy.,5/25/18,05/25/2018,0,0.0,0.0,,0.0,
Governing Law,LOCATION,What is the Governing Law of this agreement? Answer with the name of a state or country only.,Connecticut,Connecticut,1,1.0,1.0,,1.0,
Most Favored Nation,BOOL,Does this agreement include any 'Most Favored Nation' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Competitive Restriction Exception,BOOL,Does this agreement include any 'Competitive Restriction Exception' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Non-Compete,BOOL,Does this agreement include any 'Non-Compete' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Exclusivity,BOOL,Does this agreement include any 'Exclusivity' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
No-Solicit Of Customers,BOOL,Does this agreement include any 'No-Solicit Of Customers' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
No-Solicit Of Employees,BOOL,Does this agreement include any 'No-Solicit Of Employees' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Non-Disparagement,BOOL,Does this agreement include any 'Non-Disparagement' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Termination For Convenience,BOOL,Does this agreement include any 'Termination For Convenience' clause? Answer strictly with 'Yes' or 'No'.,Yes,Yes.,1,0.3333333333333333,1.0,,,1.0
Rofr/Rofo/Rofn,BOOL,Does this agreement include any 'Rofr/Rofo/Rofn' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Change Of Control,BOOL,Does this agreement include any 'Change Of Control' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Anti-Assignment,BOOL,Does this agreement include any 'Anti-Assignment' clause? Answer strictly with 'Yes' or 'No'.,Yes,Yes.,1,1.0,1.0,,,1.0
Revenue/Profit Sharing,BOOL,Does this agreement include any 'Revenue/Profit Sharing' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Price Restrictions,BOOL,Does this agreement include any 'Price Restrictions' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Minimum Commitment,BOOL,Does this agreement include any 'Minimum Commitment' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Volume Restriction,BOOL,Does this agreement include any 'Volume Restriction' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Ip Ownership Assignment,BOOL,Does this agreement include any 'Ip Ownership Assignment' clause? Answer strictly with 'Yes' or 'No'.,Yes,Yes.,1,0.2,1.0,,,1.0
Joint Ip Ownership,BOOL,Does this agreement include any 'Joint Ip Ownership' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
License Grant,BOOL,Does this agreement include any 'License Grant' clause? Answer strictly with 'Yes' or 'No'.,No,Yes.,0,0.0,0.0,,,0.0
Non-Transferable License,BOOL,Does this agreement include any 'Non-Transferable License' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Affiliate License-Licensor,BOOL,Does this agreement include any 'Affiliate License-Licensor' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Affiliate License-Licensee,BOOL,Does this agreement include any 'Affiliate License-Licensee' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Unlimited/All-You-Can-Eat-License,BOOL,Does this agreement include any 'Unlimited/All-You-Can-Eat-License' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Irrevocable Or Perpetual License,BOOL,Does this agreement include any 'Irrevocable Or Perpetual License' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Source Code Escrow,BOOL,Does this agreement include any 'Source Code Escrow' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Post-Termination Services,BOOL,Does this agreement include any 'Post-Termination Services' clause? Answer strictly with 'Yes' or 'No'.,Yes,No.,1,0.3333333333333333,1.0,,,0.0
Audit Rights,BOOL,Does this agreement include any 'Audit Rights' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Uncapped Liability,BOOL,Does this agreement include any 'Uncapped Liability' clause? Answer strictly with 'Yes' or 'No'.,Yes,No.,1,1.0,1.0,,,0.0
Cap On Liability,BOOL,Does this agreement include any 'Cap On Liability' clause? Answer strictly with 'Yes' or 'No'.,Yes,Yes.,1,0.5,1.0,,,1.0
Liquidated Damages,BOOL,Does this agreement include any 'Liquidated Damages' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Warranty Duration,DURATION,"What is the Warranty Duration in this agreement? Answer with a number and unit, such as '3 years' or '12 months'.",No,3 years,0,0.0,0.0,,0.0,
Insurance,BOOL,Does this agreement include any 'Insurance' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Covenant Not To Sue,BOOL,Does this agreement include any 'Covenant Not To Sue' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Third Party Beneficiary,BOOL,Does this agreement include any 'Third Party Beneficiary' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Document Name,TEXT,What is the Document Name in this agreement?,MASTER SERVICES AGREEMENT (,"The Document Name in this agreement is ""Master Services Agreement.""",1,0.5,1.0,0.4615384615384615,,
Parties,LIST_ENTITY,Who are the parties to this agreement? List the entity or individual names separated by semicolons.,"Clear Capital (""Company""); Radial Spark, LLC (""Contractor"")","Company; Contractor; RadialSpark, LLC; Clear Capital",1,0.1,1.0,0.7692307692307692,,
Agreement Date,DATE,What is the Agreement Date of this agreement? Answer strictly in the format mm/dd/yyyy.,9/24/18,01/01/2024,0,0.0,0.0,,0.0,
Effective Date,DATE,What is the Effective Date of this agreement? Answer strictly in the format mm/dd/yyyy.,9/24/18,09/24/2018,1,1.0,1.0,,0.0,
Expiration Date,DATE,What is the Expiration Date of this agreement? Answer strictly in the format mm/dd/yyyy.,perpetual,09/24/2018,0,0.0,0.0,,0.0,
Governing Law,LOCATION,What is the Governing Law of this agreement? Answer with the name of a state or country only.,Arizona,Arizona,1,1.0,1.0,,1.0,
Most Favored Nation,BOOL,Does this agreement include any 'Most Favored Nation' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Competitive Restriction Exception,BOOL,Does this agreement include any 'Competitive Restriction Exception' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Non-Compete,BOOL,Does this agreement include any 'Non-Compete' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Exclusivity,BOOL,Does this agreement include any 'Exclusivity' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
No-Solicit Of Customers,BOOL,Does this agreement include any 'No-Solicit Of Customers' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
No-Solicit Of Employees,BOOL,Does this agreement include any 'No-Solicit Of Employees' clause? Answer strictly with 'Yes' or 'No'.,Yes,Yes.,1,1.0,1.0,,,1.0
Non-Disparagement,BOOL,Does this agreement include any 'Non-Disparagement' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Termination For Convenience,BOOL,Does this agreement include any 'Termination For Convenience' clause? Answer strictly with 'Yes' or 'No'.,Yes,Yes.,1,0.3333333333333333,1.0,,,1.0
Rofr/Rofo/Rofn,BOOL,Does this agreement include any 'Rofr/Rofo/Rofn' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Change Of Control,BOOL,Does this agreement include any 'Change Of Control' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Anti-Assignment,BOOL,Does this agreement include any 'Anti-Assignment' clause? Answer strictly with 'Yes' or 'No'.,Yes,Yes.,1,1.0,1.0,,,1.0
Revenue/Profit Sharing,BOOL,Does this agreement include any 'Revenue/Profit Sharing' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Price Restrictions,BOOL,Does this agreement include any 'Price Restrictions' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Minimum Commitment,BOOL,Does this agreement include any 'Minimum Commitment' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Volume Restriction,BOOL,Does this agreement include any 'Volume Restriction' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Ip Ownership Assignment,BOOL,Does this agreement include any 'Ip Ownership Assignment' clause? Answer strictly with 'Yes' or 'No'.,Yes,Yes.,1,0.5,1.0,,,1.0
Joint Ip Ownership,BOOL,Does this agreement include any 'Joint Ip Ownership' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
License Grant,BOOL,Does this agreement include any 'License Grant' clause? Answer strictly with 'Yes' or 'No'.,Yes,Yes.,1,1.0,1.0,,,1.0
Non-Transferable License,BOOL,Does this agreement include any 'Non-Transferable License' clause? Answer strictly with 'Yes' or 'No'.,No,Yes.,0,0.0,0.0,,,0.0
Affiliate License-Licensor,BOOL,Does this agreement include any 'Affiliate License-Licensor' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Affiliate License-Licensee,BOOL,Does this agreement include any 'Affiliate License-Licensee' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Unlimited/All-You-Can-Eat-License,BOOL,Does this agreement include any 'Unlimited/All-You-Can-Eat-License' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Irrevocable Or Perpetual License,BOOL,Does this agreement include any 'Irrevocable Or Perpetual License' clause? Answer strictly with 'Yes' or 'No'.,Yes,Yes.,1,0.3333333333333333,1.0,,,1.0
Source Code Escrow,BOOL,Does this agreement include any 'Source Code Escrow' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Post-Termination Services,BOOL,Does this agreement include any 'Post-Termination Services' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Audit Rights,BOOL,Does this agreement include any 'Audit Rights' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Uncapped Liability,BOOL,Does this agreement include any 'Uncapped Liability' clause? Answer strictly with 'Yes' or 'No'.,Yes,No.,1,0.3333333333333333,1.0,,,0.0
Cap On Liability,BOOL,Does this agreement include any 'Cap On Liability' clause? Answer strictly with 'Yes' or 'No'.,Yes,Yes.,1,0.5,1.0,,,1.0
Liquidated Damages,BOOL,Does this agreement include any 'Liquidated Damages' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Warranty Duration,DURATION,"What is the Warranty Duration in this agreement? Answer with a number and unit, such as '3 years' or '12 months'.",No,There is no explicit warranty duration stated in the provided contract clauses.,0,0.0,0.0,,0.0,
Insurance,BOOL,Does this agreement include any 'Insurance' clause? Answer strictly with 'Yes' or 'No'.,Yes,Yes.,1,1.0,1.0,,,1.0
Covenant Not To Sue,BOOL,Does this agreement include any 'Covenant Not To Sue' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Third Party Beneficiary,BOOL,Does this agreement include any 'Third Party Beneficiary' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Document Name,TEXT,What is the Document Name in this agreement?,SERVICES AGREEMENT,"The Document Name in this agreement is ""Services Agreement.""",1,1.0,1.0,0.3636363636363636,,
Parties,LIST_ENTITY,Who are the parties to this agreement? List the entity or individual names separated by semicolons.,"PFS Funds (""Trust""); Potomac Fund Management, Inc. (""Adviser"")","PFS Funds;Adviser;Potomac Fund Management, Inc.;Trust",1,0.14285714285714285,1.0,1.0,,
Agreement Date,DATE,What is the Agreement Date of this agreement? Answer strictly in the format mm/dd/yyyy.,6/24/20,01/01/2023,0,0.0,0.0,,0.0,
Effective Date,DATE,What is the Effective Date of this agreement? Answer strictly in the format mm/dd/yyyy.,6/24/20,06/24/2020,1,0.5,1.0,,0.0,
Expiration Date,DATE,What is the Expiration Date of this agreement? Answer strictly in the format mm/dd/yyyy.,6/24/22,06/24/2020,0,0.0,0.0,,0.0,
Governing Law,LOCATION,What is the Governing Law of this agreement? Answer with the name of a state or country only.,Massachusetts,Massachusetts,1,1.0,1.0,,1.0,
Most Favored Nation,BOOL,Does this agreement include any 'Most Favored Nation' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Competitive Restriction Exception,BOOL,Does this agreement include any 'Competitive Restriction Exception' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Non-Compete,BOOL,Does this agreement include any 'Non-Compete' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Exclusivity,BOOL,Does this agreement include any 'Exclusivity' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
No-Solicit Of Customers,BOOL,Does this agreement include any 'No-Solicit Of Customers' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
No-Solicit Of Employees,BOOL,Does this agreement include any 'No-Solicit Of Employees' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
